IBOV - Carteira do Dia 17/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,418;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,302;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,105;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,956;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,246;
ASAI3;ASSAI;ON      NM;935.793.199;0,916;
AZUL4;AZUL;PN      N2;327.646.296;0,136;
B3SA3;B3;ON      NM;5.901.731.302;3,457;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,099;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,224;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,950;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,724;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,378;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,103;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,277;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,375;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,350;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,408;
CCRO3;CCR SA;ON      NM;998.462.635;0,570;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,813;
CIEL3;CIELO;ON      NM;1.095.401.258;0,301;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,206;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,601;
CSAN3;COSAN;ON      NM;1.171.063.698;0,960;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,299;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,280;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,053;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,209;
DXCO3;DEXCO;ON      NM;274.863.424;0,097;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,067;
ELET3;ELETROBRAS;ON      N1;1.871.213.500;3,467;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,530;
EMBR3;EMBRAER;ON      NM;734.632.205;0,615;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,253;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,512;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,962;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,513;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,501;
EZTC3;EZTEC;ON      NM;94.318.339;0,063;
FLRY3;FLEURY;ON      NM;351.919.239;0,278;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,625;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,437;
GOLL4;GOL;PN      N2;190.059.275;0,059;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,661;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,232;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,178;
HYPE3;HYPERA;ON      NM;400.842.480;0,957;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,213;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,362;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;6,671;
JBSS3;JBS;ON      NM;1.134.986.483;1,112;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,712;
RENT3;LOCALIZA;ON      NM;773.535.098;2,315;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,123;
LREN3;LOJAS RENNER;ON      NM;965.528.807;0,964;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,564;
MRFG3;MARFRIG;ON      NM;316.724.584;0,110;
CASH3;MELIUZ;ON      NM;657.970.941;0,032;
BEEF3;MINERVA;ON      NM;260.340.982;0,166;
MRVE3;MRV;ON      NM;305.668.749;0,102;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,338;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,149;
PETR3;PETROBRAS;ON      N2;3.484.913.747;5,413;
PETR4;PETROBRAS;PN      N2;4.566.441.248;6,316;
PRIO3;PETRORIO;ON      NM;839.159.130;1,740;
PETZ3;PETZ;ON      NM;335.724.569;0,117;
QUAL3;QUALICORP;ON      NM;277.226.847;0,076;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,435;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,190;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,722;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,124;
SBSP3;SABESP;ON      NM;340.002.999;0,964;
SANB11;SANTANDER BR;UNT;355.642.848;0,541;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,204;
CSNA3;SID NACIONAL;ON;589.695.175;0,546;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,255;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,788;
TAEE11;TAESA;UNT     N2;218.568.234;0,404;
VIVT3;TELEF BRASIL;ON;423.091.712;0,882;
TIMS3;TIM;ON      NM;808.436.195;0,505;
TOTS3;TOTVS;ON      NM;520.749.110;0,765;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,722;
USIM5;USIMINAS;PNA     N1;515.014.562;0,194;
VALE3;VALE;ON      NM;3.394.804.584;15,598;
VIIA3;VIA;ON      NM;1.576.975.642;0,186;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,894;
WEGE3;WEG;ON      NM;1.318.583.017;2,635;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,128;
Quantidade Teórica Total;;;97.076.388.170;100,000
Redutor;;;17.656.000,55284556
