IBXL - Carteira do Dia 17/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,448;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,325;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,173;
ASAI3;ASSAI;ON      NM;935.793.199;0,984;
AZUL4;AZUL;PN      N2;327.646.296;0,145;
B3SA3;B3;ON      NM;5.901.731.302;3,711;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,314;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,997;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,331;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,403;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,450;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,872;
CIEL3;CIELO;ON      NM;1.095.401.258;0,323;
CSAN3;COSAN;ON      NM;1.171.063.698;1,030;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,057;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,224;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;4,020;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,569;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,612;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,745;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,710;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,264;
HYPE3;HYPERA;ON      NM;400.842.480;1,027;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,535;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;7,161;
JBSS3;JBS;ON      NM;1.134.986.483;1,193;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,765;
RENT3;LOCALIZA;ON      NM;773.535.098;2,485;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,132;
LREN3;LOJAS RENNER;ON      NM;965.528.807;1,035;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,605;
MRFG3;MARFRIG;ON      NM;316.724.584;0,118;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,363;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,172;
PETR4;PETROBRAS;PN      N2;4.566.441.248;6,780;
PRIO3;PETRORIO;ON      NM;839.159.130;1,868;
PETZ3;PETZ;ON      NM;335.724.569;0,125;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,541;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,848;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,207;
SBSP3;SABESP;ON      NM;340.002.999;1,035;
CSNA3;SID NACIONAL;ON;589.695.175;0,586;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,920;
TOTS3;TOTVS;ON      NM;520.749.110;0,820;
USIM5;USIMINAS;PNA     N1;515.014.562;0,208;
VALE3;VALE;ON      NM;4.547.296.398;22,428;
VIIA3;VIA;ON      NM;1.576.975.642;0,200;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,960;
WEGE3;WEG;ON      NM;1.481.593.024;3,176;
Quantidade Teórica Total;;;77.976.385.571;100,000
Redutor;;;97.420.877,42198356
