IBXX - Carteira do Dia 17/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,384;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,278;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,096;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,721;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,227;
ASAI3;ASSAI;ON      NM;935.793.199;0,843;
AURE3;AUREN;ON      NM;301.966.318;0,217;
AZUL4;AZUL;PN      N2;327.646.296;0,125;
B3SA3;B3;ON      NM;5.901.731.302;3,181;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,091;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,126;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,874;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,427;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,348;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,856;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,255;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,346;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,243;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,375;
CBAV3;CBA;ON      NM;191.350.000;0,099;
CCRO3;CCR SA;ON      NM;998.462.635;0,524;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,748;
CIEL3;CIELO;ON      NM;1.095.401.258;0,277;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,190;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,553;
CSAN3;COSAN;ON      NM;1.171.063.698;0,883;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,275;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,258;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,049;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,192;
DXCO3;DEXCO;ON      NM;274.863.424;0,089;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,061;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;3,447;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,488;
EMBR3;EMBRAER;ON      NM;734.632.205;0,566;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,053;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,233;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,471;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,885;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,472;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,382;
EZTC3;EZTEC;ON      NM;94.318.339;0,058;
FLRY3;FLEURY;ON      NM;351.919.239;0,256;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,496;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,402;
GOLL4;GOL;PN      N2;190.059.275;0,054;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,139;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,609;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,214;
